Level 1,Level 2,Level 3,Level 1 Description,Level 2 Description,Level 3 Description,Level 2 InputType,Level 2 OutputType,Level 3 InputType,Level 3 OutputType
Remote Sensing Image Processing,Image enhancement,Color & Multispectral enhancement,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Enhances image visual quality or feature separability through gray-level, color, spatial, or frequency domain operations. These methods modify visual or statistical characteristics without changing the geometric structure.","Enhances visual representation of RGB, multispectral, or hyperspectral images through band combination, color balancing, PCA, or ratio transformations.",Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Image enhancement,Spatial and neighborhood enhancement,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Enhances image visual quality or feature separability through gray-level, color, spatial, or frequency domain operations. These methods modify visual or statistical characteristics without changing the geometric structure.","Enhances local features using neighborhood-based processing, such as adaptive histogram equalization, local contrast stretching, or neighborhood statistics.",Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Image enhancement,Multiscale and Multi-resolution enhancement,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Enhances image visual quality or feature separability through gray-level, color, spatial, or frequency domain operations. These methods modify visual or statistical characteristics without changing the geometric structure.","Uses multi-scale representations (e.g., wavelet transform, pyramid decomposition) to enhance features at different spatial resolutions. Examples: wavelet enhancement, multiscale Retinex.",,,,
Remote Sensing Image Processing,Image enhancement,Model-based enhancement,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Enhances image visual quality or feature separability through gray-level, color, spatial, or frequency domain operations. These methods modify visual or statistical characteristics without changing the geometric structure.","Enhances images using physical or sensor models, such as atmospheric correction, reflectance estimation, or sensor response adjustment. Common in remote sensing preprocessing.",,,,
Remote Sensing Image Processing,Image enhancement,Adaptive and learning-based enhancement,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Enhances image visual quality or feature separability through gray-level, color, spatial, or frequency domain operations. These methods modify visual or statistical characteristics without changing the geometric structure.","Adjusts enhancement dynamically based on local features or learning models (e.g., machine learning, deep learning). Examples include deep-learning super-resolution and adaptive histogram equalization.",,,,
Remote Sensing Image Processing,Image filtering / edge detection,Smoothing / Denoising filters,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Enhances image features or detects boundaries in raster images using various filtering techniques. This includes smoothing, sharpening, edge detection, and frequency-based transformations.","Filters that suppress noise and smooth raster images. Examples include mean, median, Gaussian, and Lee Sigma filters.",Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Image filtering / edge detection,Sharpening filters,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Enhances image features or detects boundaries in raster images using various filtering techniques. This includes smoothing, sharpening, edge detection, and frequency-based transformations.","Filters that enhance image details and emphasize transitions, making features more distinct. Examples include high-pass, emboss, and unsharp masking filters.",Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Image filtering / edge detection,Edge detection filters,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Enhances image features or detects boundaries in raster images using various filtering techniques. This includes smoothing, sharpening, edge detection, and frequency-based transformations.","Filters that highlight areas of strong intensity change, extracting object boundaries. Examples include Sobel, Prewitt, and Canny operators.",Raster,Raster,Raster,Raster
Remote Sensing Image Processing,Image filtering / edge detection,Directional / Oriented filters,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Enhances image features or detects boundaries in raster images using various filtering techniques. This includes smoothing, sharpening, edge detection, and frequency-based transformations.","Filters that detect or enhance features in specific orientations, such as vertical, horizontal, or diagonal lines. Examples include line-detection filters.",,,,
Remote Sensing Image Processing,Image filtering / edge detection,Frequency Domain filters,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Enhances image features or detects boundaries in raster images using various filtering techniques. This includes smoothing, sharpening, edge detection, and frequency-based transformations.","Filters applied in the frequency domain (e.g., Fourier or wavelet transforms) to separate or enhance image components at different frequency bands.",,,,
Remote Sensing Image Processing,Image filtering / edge detection,Anisotropic filters,"Processes and analyzes remotely sensed imagery to enhance quality, extract features, classify land cover, and perform quantitative analysis.","Enhances image features or detects boundaries in raster images using various filtering techniques. This includes smoothing, sharpening, edge detection, and frequency-based transformations.","Advanced filters that reduce noise while preserving edges or textures, often used in remote sensing for speckle noise reduction. Examples include bilateral and anisotropic diffusion filters.",,,,
